Text,Label
Update the status of executions 123,3
Assign execution task to user B,3
Create a new executions for scenario Y,3
Delete executions 456,3
Edit executions details for project B,3
Send an email to the team,4
Schedule a meeting for tomorrow,4
Book a flight to New York,4
Remind me to call John,4
Order a pizza,4
What is the weather like today?,0
Tell me a joke,0
Convert this to a PDF,0
Play some music,0
Who won the game last night?,0
Find all requirements for project A,1
Retrieve requirements for module X,1
List all requirements with priority high,1
Search for all requirements associated with user C,1
Retrieve requirements linked to defect D,1
How to cook pasta?,2
What's the capital of France?,2
What's the time?,2
Translate this text to Spanish,2
How to make an omelette?,2
Update the status of requirements 123,3
Assign execution task to user B,3
Create a new requirements for scenario Y,3
Delete requirements 456,3
Edit requirements details for project B,3
Send an email to the team,4
Schedule a meeting for tomorrow,4
Book a flight to New York,4
Remind me to call John,4
Order a pizza,4
What is the weather like today?,0
Tell me a joke,0
Convert this to a PDF,0
Play some music,0
Who won the game last night?,0
Find all test cases for project A,1
Retrieve test cases for module X,1
List all test cases with priority high,1
Search for all test cases associated with user C,1
Retrieve test cases linked to defect D,1
How to cook pasta?,2
What's the capital of France?,2
What's the time?,2
Translate this text to Spanish,2
How to make an omelette?,2
Update the status of test cases 123,3
Assign execution task to user B,3
Create a new test cases for scenario Y,3
Delete test cases 456,3
Edit test cases details for project B,3
Send an email to the team,4
Schedule a meeting for tomorrow,4
Book a flight to New York,4
Remind me to call John,4
Order a pizza,4
What is the weather like today?,0
Tell me a joke,0
Convert this to a PDF,0
Play some music,0
Who won the game last night?,0
Find all test sets for project A,1
Retrieve test sets for module X,1
List all test sets with priority high,1
Search for all test sets associated with user C,1
Retrieve test sets linked to defect D,1
How to cook pasta?,2
What's the capital of France?,2
What's the time?,2
Translate this text to Spanish,2
How to make an omelette?,2
Update the status of test sets 123,3
Assign execution task to user B,3
Create a new test sets for scenario Y,3
Delete test sets 456,3
Edit test sets details for project B,3
Send an email to the team,4
Schedule a meeting for tomorrow,4
Book a flight to New York,4
Remind me to call John,4
Order a pizza,4
What is the weather like today?,0
Tell me a joke,0
Convert this to a PDF,0
Play some music,0
Who won the game last night?,0
Find all executions for project A,1
Retrieve executions for module X,1
List all executions with priority high,1
Search for all executions associated with user C,1
Retrieve executions linked to defect D,1
How to cook pasta?,2
What's the capital of France?,2
What's the time?,2
Translate this text to Spanish,2
How to make an omelette?,2
Update the status of executions 123,3
Assign execution task to user B,3
Create a new executions for scenario Y,3
Delete executions 456,3
Edit executions details for project B,3
Send an email to the team,4
Schedule a meeting for tomorrow,4
Book a flight to New York,4
Remind me to call John,4
Order a pizza,4
What is the weather like today?,0
Tell me a joke,0
Convert this to a PDF,0
Play some music,0
Who won the game last night?,0
Find all requirements for project A,1
Retrieve requirements for module X,1
List all requirements with priority high,1
Search for all requirements associated with user C,1
Retrieve requirements linked to defect D,1
How to cook pasta?,2
What's the capital of France?,2
What's the time?,2
Translate this text to Spanish,2
How to make an omelette?,2
Update the status of requirements 123,3
Assign execution task to user B,3
Create a new requirements for scenario Y,3
Delete requirements 456,3
Edit requirements details for project B,3
Send an email to the team,4
Schedule a meeting for tomorrow,4
Book a flight to New York,4
Remind me to call John,4
Order a pizza,4
What is the weather like today?,0
Tell me a joke,0
Convert this to a PDF,0
Play some music,0
Who won the game last night?,0
Find all test cases for project A,1
Retrieve test cases for module X,1
List all test cases with priority high,1
Search for all test cases associated with user C,1
Retrieve test cases linked to defect D,1
How to cook pasta?,2
What's the capital of France?,2
What's the time?,2
Translate this text to Spanish,2
How to make an omelette?,2
Update the status of test cases 123,3
Assign execution task to user B,3
Create a new test cases for scenario Y,3
Delete test cases 456,3
Edit test cases details for project B,3
Send an email to the team,4
Schedule a meeting for tomorrow,4
Book a flight to New York,4
Remind me to call John,4
Order a pizza,4
What is the weather like today?,0
Tell me a joke,0
Convert this to a PDF,0
Play some music,0
Who won the game last night?,0
Find all test sets for project A,1
Retrieve test sets for module X,1
List all test sets with priority high,1
Search for all test sets associated with user C,1
Retrieve test sets linked to defect D,1
How to cook pasta?,2
What's the capital of France?,2
What's the time?,2
Translate this text to Spanish,2
How to make an omelette?,2
Update the status of test sets 123,3
Assign execution task to user B,3
Create a new test sets for scenario Y,3
Delete test sets 456,3
Edit test sets details for project B,3
Send an email to the team,4
Schedule a meeting for tomorrow,4
Book a flight to New York,4
Remind me to call John,4
Order a pizza,4
What is the weather like today?,0
Tell me a joke,0
Convert this to a PDF,0
Play some music,0
Who won the game last night?,0
Find all executions for project A,1
Retrieve executions for module X,1
List all executions with priority high,1
Search for all executions associated with user C,1
Retrieve executions linked to defect D,1
How to cook pasta?,2
What's the capital of France?,2
What's the time?,2
Translate this text to Spanish,2
How to make an omelette?,2
Update the status of executions 123,3
Assign execution task to user B,3
Create a new executions for scenario Y,3
Delete executions 456,3
Edit executions details for project B,3
Send an email to the team,4
Schedule a meeting for tomorrow,4
Book a flight to New York,4
Remind me to call John,4
Order a pizza,4
What is the weather like today?,0
Tell me a joke,0
Convert this to a PDF,0
Play some music,0
Who won the game last night?,0
Find all requirements for project A,1
Retrieve requirements for module X,1
List all requirements with priority high,1
Search for all requirements associated with user C,1
Retrieve requirements linked to defect D,1
How to cook pasta?,2
What's the capital of France?,2
What's the time?,2
Translate this text to Spanish,2
How to make an omelette?,2
Update the status of requirements 123,3
Assign execution task to user B,3
Create a new requirements for scenario Y,3
Delete requirements 456,3
Edit requirements details for project B,3
Send an email to the team,4
Schedule a meeting for tomorrow,4
Book a flight to New York,4
Remind me to call John,4
Order a pizza,4
What is the weather like today?,0
Tell me a joke,0
Convert this to a PDF,0
Play some music,0
Who won the game last night?,0
Find all test cases for project A,1
Retrieve test cases for module X,1
List all test cases with priority high,1
Search for all test cases associated with user C,1
Retrieve test cases linked to defect D,1
How to cook pasta?,2
What's the capital of France?,2
What's the time?,2
Translate this text to Spanish,2
How to make an omelette?,2
Update the status of test cases 123,3
Assign execution task to user B,3
Create a new test cases for scenario Y,3
Delete test cases 456,3
Edit test cases details for project B,3
Send an email to the team,4
Schedule a meeting for tomorrow,4
Book a flight to New York,4
Remind me to call John,4
Order a pizza,4
What is the weather like today?,0
Tell me a joke,0
Convert this to a PDF,0
Play some music,0
Who won the game last night?,0
Find all test sets for project A,1
Retrieve test sets for module X,1
List all test sets with priority high,1
Search for all test sets associated with user C,1
Retrieve test sets linked to defect D,1
How to cook pasta?,2
What's the capital of France?,2
What's the time?,2
Translate this text to Spanish,2
